date,close,diff,open,high,low,volume,Fluctuation,MA20,MA60,MA120,MA20P,MA60P,MA120P,ATR,slowk,slowd,RSI,ADX,macd,macdsignal,macdhist,aroondown,aroonup,MOM,VAR,WILLR
2017-01-16 00:00:00,188000,2000,190000,191500,186500,52915,-0.010582109,187775,179583.3333,185195.8333,1.001198243,1.046867749,1.015141629,5305.091599,49.45054945,65.05901506,53.0254935,13.78842307,2469.317525,2684.091899,-214.7743739,0,85.71428571,-13.3640553,2240000,-45.83333333
2017-01-17 00:00:00,185000,3000,188000,190000,185000,61704,-0.016086138,187525,179583.3333,184958.3333,0.986535129,1.030162413,1.000225276,5294.921879,23.80952381,47.78184778,47.5854711,13.3331183,1963.999884,2540.073496,-576.0736124,0,78.57142857,-13.34894614,7040000,-73.91304348
2017-01-18 00:00:00,186000,1000,185000,186500,184500,35483,0.005390849,187450,179633.3333,184704.1667,0.992264604,1.035442568,1.007015723,5185.091149,12.6984127,28.65282865,49.44723379,12.74246897,1625.486063,2357.15601,-731.6699462,0,71.42857143,-14.08775982,6560000,-68.18181818
2017-01-19 00:00:00,190000,4000,188500,194500,187500,127154,0.021277398,187675,179783.3333,184520.8333,1.012388437,1.056827663,1.029694027,5295.588111,23.88888889,20.13227513,56.15579666,14.0505535,1660.832944,2217.891396,-557.0584524,0,100,-10.37735849,4160000,-39.13043478
2017-01-20 00:00:00,189000,1000,189500,192500,189000,56220,-0.005277057,187950,179891.6667,184370.8333,1.005586592,1.050632325,1.025107912,5235.735174,38.88888889,25.15873016,54.21866955,15.26520343,1589.827418,2092.278601,-502.4511827,7.142857143,92.85714286,-8.695652174,3440000,-47.82608696
2017-01-23 00:00:00,186000,3000,189000,190000,186000,50345,-0.016000341,188025,179966.6667,184250,0.989230156,1.033524727,1.009497965,5194.544001,38.33333333,33.7037037,48.78204361,15.39705987,1276.762377,1929.175356,-652.4129787,0,85.71428571,-7.2319202,3760000,-80.95238095
2017-01-24 00:00:00,183000,3000,185500,187500,182000,60472,-0.016260521,187925,180108.3333,184125,0.973792736,1.016055152,0.99389002,5204.725868,22.66666667,33.2962963,44.02769296,14.41085198,777.6172614,1698.863737,-921.2464757,100,78.57142857,-7.575757576,6160000,-92
2017-01-25 00:00:00,177500,5500,182500,183500,176500,86581,-0.030515544,187600,180216.6667,183983.3333,0.946162047,0.984925553,0.964761301,5264.568339,9.518518519,23.50617284,36.92287648,14.45837418,-61.0590233,1346.879185,-1407.938208,100,71.42857143,-8.740359897,20440000,-94.44444444
2017-01-26 00:00:00,180500,3000,179000,182000,175500,40013,0.016760169,187375,180500,183883.3333,0.963308873,1,0.981600653,5305.749395,14.32244009,15.50254176,42.38435939,14.69129247,-478.1295139,981.8774453,-1460.006959,100,64.28571429,-6.233766234,16260000,-73.68421053
2017-01-31 00:00:00,182500,2000,178500,184500,178500,37011,0.011019395,187150,180725,183787.5,0.97515362,1.009821552,0.992994627,5328.891081,27.74772744,17.19622868,45.75631105,14.2574789,-639.9012144,657.5217133,-1297.422928,92.85714286,57.14285714,-5.927835052,7940000,-63.15789474
2017-02-01 00:00:00,178500,4000,182500,183000,177500,73650,-0.022161572,186675,180908.3333,183745.8333,0.956207312,0.986687549,0.9714506,5334.594712,34.22920892,25.43312549,40.6342173,14.06503316,-1078.441422,310.3290863,-1388.770508,85.71428571,50,-2.72479564,4640000,-84.21052632
2017-02-02 00:00:00,177000,1500,178500,180500,176000,68372,-0.008438869,186250,181033.3333,183616.6667,0.95033557,0.977720493,0.963964782,5306.774888,29.98084291,30.65259309,38.87669127,14.1989499,-1529.395243,-57.61577957,-1471.779464,78.57142857,42.85714286,-8.051948052,4160000,-92.10526316
2017-02-03 00:00:00,179000,2000,178000,179500,177000,37732,0.011236073,185950,181108.3333,183495.8333,0.962624361,0.988358717,0.97549899,5213.215725,26.85185185,30.3539679,42.45083733,14.32330116,-1705.733477,-387.239319,-1318.494158,71.42857143,35.71428571,-7.493540052,3500000,-81.57894737
2017-02-06 00:00:00,184000,5000,181000,185500,179000,80496,0.027549952,185600,181300,183387.5,0.99137931,1.014892443,1.003339922,5256.108534,46.58869396,34.47379624,50.27853509,13.70791088,-1425.591255,-594.9097062,-830.6815489,64.28571429,28.57142857,-6.598984772,6860000,-55.26315789
2017-02-07 00:00:00,187000,3000,184500,188500,183000,70832,0.016172859,185325,181550,183279.1667,1.009038176,1.030019278,1.020301453,5264.23825,70.36647173,47.93567251,54.29543111,13.75176151,-950.5443152,-666.036628,-284.5076872,57.14285714,21.42857143,-6.5,14240000,-39.47368421
2017-02-08 00:00:00,182500,4500,187000,187000,182000,49670,-0.024358444,184975,181816.6667,183125,0.986619813,1.003758365,0.996587031,5255.430308,74.73684211,63.89733593,48.02764831,13.53319382,-926.4984869,-718.1289998,-208.3694871,50,14.28571429,-9.2039801,12640000,-63.15789474
2017-02-09 00:00:00,176000,6500,183000,184500,175000,118243,-0.036266178,184275,181950,182900,0.955094288,0.967298708,0.962274467,5396.915965,49.13580247,64.7463721,40.71619994,13.32987151,-1415.619294,-857.6270586,-557.9922353,100,7.142857143,-13.30049261,14760000,-94.87179487
2017-02-10 00:00:00,180500,4500,178000,181000,178000,75161,0.025246783,183700,182141.6667,182700,0.982580294,0.990986869,0.987958402,5383.685433,33.38271605,52.41845354,46.75904893,13.14107222,-1423.726829,-970.8470126,-452.8798162,92.85714286,0,-11.73594132,13500000,-68.57142857
2017-02-13 00:00:00,180500,0,180500,183000,179500,50928,0,183125,182150,182537.5,0.985665529,0.990941532,0.98883791,5320.895918,29.62962963,37.38271605,46.75904893,12.49021572,-1413.854079,-1059.448426,-354.405653,85.71428571,0,-9.75,12660000,-63.33333333
2017-02-14 00:00:00,178500,2000,181500,181500,177500,63720,-0.011142177,182550,182133.3333,182383.3333,0.977814297,0.980051245,0.97870785,5276.866054,36.88271605,33.29835391,44.42494875,12.30287276,-1549.550881,-1157.468917,-392.0819639,78.57142857,0,-9.390862944,4840000,-74.07407407
2017-02-15 00:00:00,177500,1000,178000,179500,177000,64042,-0.005617992,182025,182191.6667,182258.3333,0.975140777,0.974248731,0.973892369,5184.303852,32.07439896,32.86224821,43.26211858,12.23265764,-1717.979419,-1269.571017,-448.4084019,71.42857143,57.14285714,-7.792207792,3040000,-81.48148148
2017-02-16 00:00:00,175000,2500,179000,179000,175000,71761,-0.014184635,181525,182291.6667,182116.6667,0.964054538,0.96,0.960922486,5144.827057,18.49415205,29.15042235,40.41407461,12.57862137,-2029.791187,-1421.615051,-608.1761355,100,50,-8.854166667,4240000,-100
2017-02-17 00:00:00,175000,0,174500,177000,172500,87081,0,180975,182416.6667,181954.1667,0.96698439,0.959342165,0.961780668,5123.332822,16.70843776,22.42566292,40.41407461,13.37584505,-2250.956632,-1587.483367,-663.4732647,100,42.85714286,-10.02570694,4460000,-84.375
2017-02-20 00:00:00,174500,500,175000,176500,174000,46067,-0.002861232,180200,182533.3333,181804.1667,0.968368479,0.955989774,0.959823986,5035.888395,15.34391534,16.84883505,39.80623449,14.11612417,-2438.468515,-1757.680397,-680.7881182,92.85714286,35.71428571,-9.350649351,2540000,-87.5
2017-02-21 00:00:00,177500,3000,175000,178000,175000,41932,0.017045867,179625,182775,181691.6667,0.988169798,0.971139379,0.97692978,4984.692115,39.15343915,23.73526409,45.13792452,14.3354664,-2318.27448,-1869.799214,-448.4752667,85.71428571,28.57142857,-7.068062827,1740000,-68.75
2017-02-22 00:00:00,174500,3000,177000,177500,174500,44841,-0.017045867,179050,182941.6667,181525,0.974588104,0.953855965,0.961300096,4918.535711,41.47334147,31.99023199,41.20721188,14.64949227,-2437.002522,-1983.239875,-453.7626464,78.57142857,21.42857143,-10.28277635,1260000,-87.5
2017-02-23 00:00:00,171500,3000,175500,175500,170500,91306,-0.017341475,178475,183083.3333,181362.5,0.960918896,0.936731907,0.94561996,4921.251187,38.51037851,39.71238638,37.67410083,15.74487919,-2741.567198,-2134.90534,-606.6618579,100,14.28571429,-10.20942408,3640000,-94.44444444
2017-02-24 00:00:00,173000,1500,171500,174000,170000,70720,0.008708328,178250,183058.3333,181212.5,0.970546985,0.945053945,0.954680279,4890.542814,27.2008547,35.72819156,40.42456485,16.8535384,-2829.285195,-2273.781311,-555.5038843,100,7.142857143,-9.42408377,3960000,-83.78378378
2017-02-27 00:00:00,172000,1000,174000,174500,171500,39590,-0.005797118,177825,183000,181079.1667,0.967243076,0.93989071,0.949860788,4827.524721,25.27777778,30.32967033,39.18311329,17.70180733,-2945.539635,-2408.132976,-537.4066596,92.85714286,0,-8.510638298,4660000,-88.23529412
2017-02-28 00:00:00,172500,500,173000,173500,171000,70457,0.00290276,177325,182941.6667,180941.6667,0.972790075,0.942923518,0.953345922,4749.940563,31.94444444,28.14102564,40.1724415,18.59327579,-2963.168731,-2519.140127,-444.0286041,85.71428571,0,-8.73015873,1060000,-82.75862069
